id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-11T18:39:59.117Z, signalstrenth=-67, battery=2988,  temperature=18,  consumptioncounter=1,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-13T13:17:46.597Z, signalstrenth=-57, battery=2970,  temperature=18,  consumptioncounter=2,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-13T18:37:50.259Z, signalstrenth=-57, battery=2970,  temperature=21,  consumptioncounter=3,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-15T06:30:04.592Z, signalstrenth=-61, battery=2982,  temperature=18,  consumptioncounter=4,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-16T16:41:18.372Z, signalstrenth=-48, battery=2976,  temperature=16,  consumptioncounter=5,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-17T13:08:28.675Z, signalstrenth=-49, battery=2976,  temperature=17,  consumptioncounter=6,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-18T13:08:28.920Z, signalstrenth=-50, battery=2976,  temperature=17,  consumptioncounter=7,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-19T07:27:33.098Z, signalstrenth=-56, battery=2988,  temperature=18,  consumptioncounter=8,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-22T19:22:06.943Z, signalstrenth=-42, battery=2970,  temperature=18,  consumptioncounter=9,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-23T19:22:02.273Z, signalstrenth=-46, battery=2976,  temperature=18,  consumptioncounter=10,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-24T06:22:26.404Z, signalstrenth=-66, battery=2964,  temperature=18,  consumptioncounter=11,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-24T18:33:15.760Z, signalstrenth=-39, battery=2970,  temperature=20,  consumptioncounter=12,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-25T14:33:34.986Z, signalstrenth=-46, battery=2994,  temperature=18,  consumptioncounter=13,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-25T18:00:20.230Z, signalstrenth=-49, battery=2970,  temperature=18,  consumptioncounter=14,  buttoncounter=0, timezone=GMT+1,,,,,
id=03c5d6d1bcc2e17d0e85eac69730781ea9c1e12d, timestamp=2020-01-26T10:11:58.314Z, signalstrenth=-40, battery=2982,  temperature=18,  consumptioncounter=15,  buttoncounter=0, timezone=GMT+1,,,,,
,,,,,,,,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-09T18:23:04.329Z, signalstrenth=-54, battery=2994,  temperature=21,  consumptioncounter=0,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-09T21:25:09.373Z, signalstrenth=-67, battery=2982,  temperature=18,  consumptioncounter=1,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-10T21:25:33.050Z, signalstrenth=-54, battery=2976,  temperature=15,  consumptioncounter=1,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-11T07:20:24.855Z, signalstrenth=-70, battery=2964,  temperature=15,  consumptioncounter=2,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-12T07:21:18.507Z, signalstrenth=-52, battery=2964,  temperature=17,  consumptioncounter=2,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-13T07:21:42.398Z, signalstrenth=-56, battery=2970,  temperature=17,  consumptioncounter=2,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-13T14:58:22.625Z, signalstrenth=-61, battery=2958,  temperature=16,  consumptioncounter=3,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-14T04:40:07.653Z, signalstrenth=-47, battery=2952,  temperature=18,  consumptioncounter=4,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-15T03:59:34.787Z, signalstrenth=-59, battery=2958,  temperature=17,  consumptioncounter=5,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-16T03:59:34.275Z, signalstrenth=-59, battery=2964,  temperature=16,  consumptioncounter=5,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-16T04:09:57.749Z, signalstrenth=-49, battery=2952,  temperature=16,  consumptioncounter=6,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-17T04:09:57.567Z, signalstrenth=-57, battery=2970,  temperature=17,  consumptioncounter=6,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-17T04:22:18.662Z, signalstrenth=-59, battery=2952,  temperature=17,  consumptioncounter=7,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-17T15:51:21.476Z, signalstrenth=-62, battery=2946,  temperature=17,  consumptioncounter=8,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-17T17:51:20.663Z, signalstrenth=-42, battery=2952,  temperature=18,  consumptioncounter=8,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-18T17:51:44.529Z, signalstrenth=-47, battery=2964,  temperature=18,  consumptioncounter=8,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-19T03:52:11.845Z, signalstrenth=-44, battery=2958,  temperature=18,  consumptioncounter=8,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-19T04:40:39.168Z, signalstrenth=-42, battery=2958,  temperature=18,  consumptioncounter=9,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-20T04:40:38.507Z, signalstrenth=-45, battery=2970,  temperature=18,  consumptioncounter=9,  buttoncounter=0, timezone=GMT-8,,,,,
id=a577f9a64793f99d45ba95d8fadbf37a58014b08, timestamp=2020-01-21T04:40:38.954Z, signalstrenth=-68, battery=2970,  temperature=18,  consumptioncounter=9,  buttoncounter=0, timezone=GMT-8,,,,,
